,trip_id,crows_flight_distance,abs_sum_angles,net_sum_angles,mean_angular_motion,median_angular_motion,total_distance,mean_distance,median_distance
32,1.159,5.059644,142.657322,12.662773,0.375414,0.0,94.03023,0.247448,0.1
33,1.34,9723.391065,835.543373,14.180585,0.49499,0.386851,16131.091466,9.556334,7.826234
34,1.113,7731.324441,428.308513,45.745784,0.486162,0.223477,11078.958709,12.575436,9.642095
35,1.192,1408.292335,498.651685,-151.851891,0.502167,0.554792,2443.139212,2.460362,0.141421
36,1.146,3.298485,34.566843,4.702906,0.209496,0.0,6.735786,0.040823,0.0
37,1.1,1160.811186,868.210519,-497.557798,0.652299,0.72547,18080.756,13.58434,12.725172
38,1.85,745.497881,143.708432,9.942189,0.659213,0.725001,1267.173695,5.812723,5.636491
39,1.8,1.640122,876.375697,110.934363,0.743952,0.723748,8893.169809,7.54938,5.747601
40,1.179,1418.477952,326.378811,-59.005563,0.321873,0.0,1668.224938,1.645192,0.0
41,1.194,1660.984919,237.223969,-97.660401,0.578595,0.258322,1959.789081,4.779973,3.624209
42,1.133,1.334166,82.840711,-49.35473,0.209194,0.0,25.704398,0.06491,0.0
43,1.166,174.138853,121.571147,-35.507555,0.653608,0.351921,814.514876,4.379112,4.622697
44,1.77,102.643168,105.209236,48.528019,0.584496,0.642213,653.851091,3.632506,4.203928
45,1.87,1328.767685,232.97085,101.140781,0.705972,0.785398,2128.742645,6.450735,7.301363
46,1.135,927.952202,272.650802,-69.352792,0.650718,0.715744,2254.095529,5.379703,5.923681
47,1.199,1148.450804,189.27125,28.345325,0.645977,0.727263,1617.061635,5.518982,5.60803
48,1.175,750.537334,453.791792,2.303486,0.531995,0.0,1938.281764,2.272312,0.0
49,1.2,3829.449762,1607.803799,218.644679,0.626824,0.532644,35142.966272,13.700962,10.463747
50,1.153,263.518121,105.109503,19.562227,0.315644,0.047583,612.06318,1.838028,0.141421
51,1.107,9848.463314,634.270629,151.743851,0.57766,0.578966,13613.988011,12.398896,11.511725
52,1.35,407.77907,70.626655,-19.691184,0.346209,0.133278,559.758993,2.743917,1.140175
53,1.47,924.976892,242.734756,-105.436807,0.589162,0.30125,1911.782857,4.64025,3.306666
54,1.94,939.319413,200.938222,70.297876,0.572474,0.510488,1899.49874,5.411677,4.920366
55,1.39,1.204159,19.690433,-10.154678,0.070575,0.0,8.121896,0.029111,0.0
56,1.17,953.487436,437.10103,33.006974,0.747181,0.718192,4660.865436,7.967291,6.407808
57,1.173,7918.334409,548.45302,344.890338,0.806549,0.835053,8965.665116,13.184802,16.530574
58,1.93,927.753335,160.186254,-104.88436,0.745052,0.610726,1202.11223,5.59122,5.756735
59,1.86,925.401545,248.303995,-64.898999,0.814111,1.030377,1876.851148,6.15361,6.152235
60,1.41,5739.636856,646.513606,69.556736,0.639479,0.482876,7995.512423,7.908519,9.0
61,1.144,3.4,310.112001,129.975217,0.617753,0.555308,2170.890967,4.324484,4.879029
62,1.114,40.428332,386.309036,37.386409,0.513027,0.266252,1586.920374,2.107464,0.2
63,1.64,1725.164007,279.686389,-22.051038,0.635651,0.641419,3048.709445,6.928885,7.608215
64,1.16,971.358224,1028.372206,-231.52435,0.677899,0.735934,11122.814304,7.332112,8.336066
65,1.56,610.638854,209.654862,111.457768,0.701187,0.732815,1590.403749,5.319076,5.307542
66,1.147,3154.95628,900.988271,273.226074,0.593928,0.661043,7918.86432,5.220082,2.19545
67,1.101,14275.139695,1151.591055,-482.434925,0.702618,0.63418,22004.973802,13.425853,13.688316
68,1.78,702.199523,163.310377,18.361134,0.674836,0.73544,1332.942605,5.508027,5.685068
69,1.68,933.462292,193.882449,-61.703651,0.655008,0.6874,1861.132133,6.287609,6.546285
70,1.134,1360.436753,514.082876,-251.355975,0.774221,0.785398,2363.125508,3.558924,1.036797
71,1.13,1108.915637,353.617342,-85.152987,0.628095,0.463648,2764.125332,4.909636,2.687006
72,1.167,3888.674608,622.362653,41.814245,0.606591,0.512966,9866.992847,9.616952,8.50735
73,1.163,4958.450292,497.127786,-44.259976,0.544499,0.318655,9168.904699,10.042612,9.243917
74,1.121,20.40049,59.124998,-5.358356,0.341763,0.0,48.917977,0.282763,0.0
75,1.7,2914.608406,464.407511,156.197988,0.678958,0.611089,6101.874056,8.920869,7.228056
76,1.95,1157.212902,120.057967,0.156175,0.52657,0.332244,1597.570233,7.006887,7.347098
77,1.6,922.969393,432.841646,-134.345318,0.477223,0.262693,4839.964376,5.336234,4.205948
78,1.154,952.036601,228.23767,119.568199,0.787026,0.833597,1839.185016,6.342017,6.457364
79,1.108,9812.368705,825.950887,-396.279032,0.857685,0.911048,13290.754577,13.801407,12.432618
80,1.187,891.931477,159.531529,-105.095255,0.526507,0.493941,989.43147,3.26545,1.746425
81,1.27,667.959108,228.667131,33.809659,0.619694,0.772741,1759.702313,4.768841,5.445181
82,1.62,210.284759,394.310128,-4.033956,0.346494,0.0,2840.431341,2.495985,0.0
83,1.72,952.315263,257.152539,-93.897677,0.689417,0.817645,1937.325203,5.193901,4.940648
84,1.174,2482.45972,248.341484,120.441937,0.578885,0.597758,3085.494543,7.192295,8.5
85,1.128,1330.103041,213.661556,-3.611532,0.632135,0.610098,2210.612997,6.540275,6.964887
86,1.145,150.529897,179.5527,-62.75737,0.831262,1.040378,889.505053,4.118079,2.801785
87,1.79,474.609998,197.63446,-45.698003,0.695896,0.761027,1194.37422,4.205543,4.486082
88,1.24,141.00656,108.06621,26.626958,0.339831,0.0,585.129781,1.840031,0.0
89,1.74,7517.433393,966.588466,37.100599,0.560992,0.304511,10686.430537,6.202223,7.05762
90,1.28,24.307406,305.84732,35.300707,0.622907,0.566729,371.381103,0.756377,0.640312
91,1.185,483.912595,311.648,17.815428,0.803216,0.845442,2160.445964,5.56816,5.702192
92,1.148,15764.571863,1071.071685,-555.286277,0.946176,1.139329,20808.148125,18.381756,20.6074
93,1.48,1006.829107,522.26073,-93.4249,0.812225,0.8635,1644.704382,2.557861,1.513275
94,1.102,3546.197843,749.871076,-254.11987,0.763616,0.785398,9434.573406,9.607509,8.135723
95,1.181,1456.550147,179.879479,20.026801,0.461229,0.091417,2212.92014,5.674154,5.964058
96,1.98,8483.692972,600.666563,234.736841,0.595309,0.598419,13599.544778,13.478241,12.918978
97,1.51,884.172031,132.29179,9.659176,0.56535,0.462119,1137.918895,4.862901,1.118034
98,1.96,947.027164,308.583412,-111.415716,0.51689,0.228497,2168.058748,3.631589,1.118034
99,1.44,7596.880458,1055.093433,-299.980861,0.706694,0.772578,14609.547194,9.785363,9.708244
100,1.168,1144.308459,174.804706,-17.059445,0.582682,0.286649,1736.909047,5.789697,5.716199
101,1.122,993.540195,581.420593,230.042858,0.525697,0.631914,3364.983919,3.042481,0.447214
102,1.21,11.275194,57.876821,-6.152403,0.334548,0.0,34.764611,0.200952,0.0
103,1.53,5.597321,55.86703,23.675774,0.137604,0.0,18.245492,0.04494,0.0
104,1.63,15125.783479,1313.988474,-638.882789,0.839609,1.078237,21130.98414,13.502226,10.816654
105,1.9,1.486607,223.025361,-59.849603,0.365615,0.0,2801.243209,4.592202,0.0
106,1.109,14358.28692,449.98165,47.510673,0.3846,0.283794,15749.40836,13.461033,15.960733
107,1.12,16188.410731,756.400951,-54.342948,0.437985,0.252554,24115.742713,13.963951,10.538026
108,1.188,1696.912128,461.937551,-91.442881,0.528533,0.297611,4894.344014,5.599936,4.000625
109,1.142,1046.100497,402.748973,-48.005333,0.529236,0.480887,4895.968799,6.433599,6.332456
110,1.141,9891.823715,526.722694,-116.608557,0.441141,0.178785,13479.257023,11.28916,9.13728
111,1.3,4.785394,810.651333,202.268084,0.590423,0.2783,7105.591133,5.17523,3.275668
112,1.129,1157.691604,169.931251,-78.245728,0.735633,0.785398,1654.461116,7.162169,7.206247
113,1.162,1094.235025,172.982843,-60.62105,0.481846,0.493941,1778.24173,4.95332,4.882622
114,1.11,152.667547,759.378752,-249.541622,0.672612,0.745419,5076.098913,4.496102,1.118034
115,1.116,936.048631,222.42481,-0.92254,0.54118,0.54042,2136.218039,5.197611,5.762812
116,1.57,1124.964608,171.503577,-106.760898,0.812813,0.889191,1419.393051,6.726981,7.130919
117,1.149,68.06181,1030.479137,452.653376,0.784828,0.876058,8946.143026,6.813513,6.60303
118,1.103,12687.369808,745.158259,1.210878,0.544706,0.448381,17364.697505,12.693492,10.807868
119,1.58,960.147765,247.767216,-39.803595,0.7767,0.702257,1942.42291,6.0891,5.869412
120,1.82,465.135475,152.224478,19.510921,0.906098,1.107149,579.691506,3.450545,0.813563
121,1.182,977.172421,147.423915,-24.942446,0.655217,0.584745,1783.40552,7.926247,8.514693
122,1.136,3852.225607,532.708603,101.137837,0.712177,0.785398,9411.602641,12.582356,12.443861
123,1.15,959.374932,389.277551,32.224159,0.731725,0.800132,4669.742889,8.777712,6.982097
124,1.89,1678.215171,133.333321,18.553706,0.462963,0.329616,2271.069724,7.885659,8.78361
125,1.59,1755.672877,245.592151,-45.244696,0.746481,0.749269,3119.121574,9.480613,10.280078
126,1.26,374.317299,150.2887,47.609864,0.406186,0.0,1046.072076,2.827222,0.1
127,1.169,1.392839,17.798748,4.192381,0.089893,0.0,10.397819,0.052514,0.0
128,1.55,69.344142,164.99856,-76.988853,0.654756,0.778356,1208.171835,4.794333,1.140175
129,1.155,11.6456,281.446331,5.548011,1.172693,1.49084,113.289465,0.472039,0.3
130,1.123,2.459675,134.88354,61.562725,0.191868,0.0,49.380561,0.070243,0.0
131,1.151,556.439682,222.597987,9.057984,0.897573,1.139943,1484.224034,5.984774,4.980768
132,1.156,938.576459,298.825682,17.543694,0.39216,0.039846,3238.88351,4.250503,1.204159
133,1.22,611.421925,140.986536,-29.728668,0.454795,0.250673,1568.66866,5.060221,4.755958
134,1.31,944.41457,116.20673,-18.442934,0.409179,0.212705,1715.213446,6.039484,6.795217
135,1.61,592.360448,308.341024,41.277593,0.680665,0.523685,2063.392169,4.55495,3.733631
136,1.99,317.320107,235.249458,100.74989,0.717224,0.785398,1929.881506,5.883785,5.659947
137,1.189,993.432283,201.732049,98.510168,0.59333,0.542441,1755.122389,5.162125,5.166706
138,1.143,2134.515631,398.454098,-34.558931,0.720532,0.785398,3629.331337,6.562986,0.761577
139,1.165,1111.008776,323.355511,-82.709956,0.55655,0.593543,2067.752168,3.558954,1.204159
140,1.196,936.268444,176.284273,15.449235,0.72545,0.785398,1644.732235,6.768445,7.915807
141,1.176,12658.74206,737.686662,225.748158,0.585466,0.54042,16223.132775,12.875502,11.701481
142,1.105,1037.794941,159.248745,-66.585173,0.82087,0.851767,1270.888565,6.550972,8.34885
143,1.45,585.484569,183.85608,-42.344449,0.666145,0.741075,1429.733911,5.180195,5.05343
144,1.38,716.252756,268.247858,-13.77965,0.644827,0.754631,1861.772697,4.475415,4.752894
145,1.76,984.097703,174.415699,-96.930656,0.775181,0.837981,1755.23185,7.80103,8.672946
146,1.117,934.669107,713.0709,-210.892008,0.460938,0.239232,6659.613474,4.304857,2.184033
147,1.66,200.354411,404.185847,39.365627,0.260094,0.0,2678.083097,1.723348,0.0
148,1.4,1484.026378,379.521059,-49.165133,0.550031,0.463648,5625.20752,8.152475,5.565514
149,1.65,4.657252,1226.116102,28.483102,1.028621,1.570786,670.898186,0.562834,0.3
150,1.104,983.942376,203.122926,85.120688,0.802857,0.785398,1785.600248,7.057708,6.830813
151,1.183,3980.915238,702.364837,0.269235,0.613955,0.609653,10020.49608,8.759175,7.017272
152,1.127,7650.178207,1035.315153,-193.735118,0.585585,0.654567,15252.042783,8.626721,8.408622
153,1.137,9266.597947,739.364098,-148.984959,0.678939,0.71883,13934.812285,12.795971,14.536162
154,1.161,6.964194,199.716015,30.800805,0.610752,0.463648,183.075874,0.559865,0.316228
155,1.32,1460.002466,225.5006,-93.977057,0.73453,0.814376,2100.895825,6.843309,6.794115
156,1.67,3663.737727,623.909113,2.078434,0.586932,0.640586,5523.525746,5.196167,4.640043
157,1.19,7727.294906,1147.031245,514.919615,0.58522,0.674741,15440.08756,7.877596,3.844445
158,1.124,2317.578909,164.660283,-66.957193,0.471806,0.179853,2629.13375,7.533335,7.600658
159,1.186,14.142843,144.947434,94.268187,0.515827,0.0,58.507329,0.208211,0.0
160,1.37,2171.533129,629.2617,61.165841,0.628633,0.651869,4923.596999,4.918678,5.2
161,1.97,1192.808639,222.640512,-16.088139,0.664599,0.440751,2187.796029,6.530734,6.529931
162,1.157,511.330979,326.627394,-76.694377,0.636701,0.348771,2006.679762,3.911656,1.16619
163,1.111,147.881371,119.448515,-46.614518,0.694468,0.785398,803.721802,4.672801,5.280316
164,1.115,9792.189403,683.264156,61.49357,0.493332,0.325567,13122.057185,9.47441,9.013878
165,1.69,130.609533,155.776583,16.626245,0.620624,0.726642,747.479713,2.978007,0.141421
166,1.33,914.838182,211.797648,-27.241611,0.725334,0.746956,1900.844353,6.509741,6.788561
167,1.177,0.943398,131.659148,-55.563192,0.310517,0.0,42.114279,0.099326,0.0
168,1.131,2953.381873,497.025293,41.994386,0.538489,0.54042,4668.732504,5.058215,3.420526
169,1.91,928.376475,186.415085,60.364684,0.760878,0.711847,1881.870455,7.681104,7.917702
170,1.36,170.954263,225.237444,-126.539587,0.98357,1.315614,777.450189,3.394979,3.748333
171,1.71,2168.629268,768.264158,239.926838,0.651624,0.661043,4387.898369,3.721712,1.341641
172,1.164,9861.862764,819.278675,-180.858775,0.50017,0.452789,13769.110844,8.406051,4.428318
173,1.118,408.644589,174.812423,-33.659259,0.5946,0.244979,1150.801551,3.914291,3.764002
174,1.18,1160.477871,937.833232,25.147969,0.781528,0.785398,16944.088635,14.120074,9.102747
175,1.197,3823.756306,623.448346,-111.727948,0.568321,0.429762,9420.840799,8.587822,6.741662
176,1.83,16428.736657,708.67395,-263.47774,0.625485,0.638988,21101.523771,18.624469,15.864426
177,1.73,627.532541,445.677154,-99.270894,0.811798,0.929432,3307.559776,6.024699,6.477654
178,1.184,956.112389,133.093261,-37.214859,0.54103,0.238609,1967.189567,7.996706,7.524938
179,1.138,15105.942562,293.255855,-67.347907,0.347048,0.244979,18301.7633,21.658891,22.940139
180,1.171,984.739488,180.882409,-61.005526,0.657754,0.80179,1834.257544,6.670027,6.809552
